dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;dcat_ap_ch.domain;dcat_ap_ch.rights;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.oauth_scope;default.parent_domain;custom.jahre;custom.publizierende-organisation;custom.tags;datasetid
2020-06-29;2020-10-28;Finanzen, Stadt St.Gallen;;OGD-Koordinationsstelle St.Gallen;opendata@stadt.sg.ch;keine Aktualisierung vorgesehen;;2019;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Laufende Rechnung 2019 Stadt St.Gallen;"<p><span style=""font-size: 12.495px;"">Die Laufende Rechnung der Stadt St.Gallen des Jahres 2019 enthält die Rechnung 2018, den Voranschlag 2019, die ausgewiesenen Aufwände und Erträge der Rechnung 2019, sowie deren Abweichung zum Budget für die verschiedenen Positionen der Stadt Verwaltung (3-stellig). </span><span style=""font-size: 12.495px;"">Den Dateidownload finden Sie</span><span style=""font-size: 12.495px;""> in den Anlagen (siehe unten).</span><br/></p>";Finanzen,Verwaltung;Finanzen,Jahresrechnung,Rechnung,Aufwand,Ertrag,Budget,Ausgaben;CC BY;https://creativecommons.org/licenses/by/4.0/;de;de;Europe/Zurich;2023-12-12T10:55:16.059000+00:00;True;False;;2023-12-12T10:55:29.885000+00:00;ch_80_3203;True;St. Gallen;;;Finanzen, Stadt St.Gallen;;0;;;;;;;False;;stgallen;;;;laufende-rechnung-2019-stadt-stgallen
2023-10-10;2023-10-10;Stadtkanzlei, Stadt St.Gallen;;OGD-Koordinationsstelle St.Gallen;opendata@stadt.sg.ch;irregular;;;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Jahresziele Stadt St.Gallen;"<p class="""" style=""font-family: sans-serif;"">Der Stadtrat der Stadt St.Gallen bestimmt und veröffentlicht Legislatur- und Jahresziele, welche den Handlungsfeldern der Vision 2030 zugeordnet werden. Diese Ziele werden jeweils am Ende des Jahres, bzw. der Legislatur bewertet und im Geschäftsbericht der Stadt St.Gallen veröffentlicht. Der Datensatz zeigt die Jahresziele und die jeweilige Bewertung bei abgeschlossenen Jahren.</p><p class="""" style=""font-family: sans-serif;"">Mehr Informationen und die jeweiligen PDF-Dokumente finden Sie hier:</p><p class="""" style=""font-family: sans-serif;""><a href=""https://www.stadt.sg.ch/home/verwaltung-politik/demokratie-politik/stadtrat.html"" target=""_blank"">Stadtrat: Vision 2030 und Legislaturziele</a></p><p class="""" style=""font-family: sans-serif;""><a href=""https://www.stadt.sg.ch/home/verwaltung-politik/demokratie-politik/geschaeftsbericht.html"" target=""_blank"">Geschäftsbericht: Legislatur- und Jahresziele, inkl. Bewertung</a></p>";Politik,Verwaltung;Stadtparlament,Stadtrat,Dienststellen,Vision 2030;CC BY;https://creativecommons.org/licenses/by/4.0/;de;de;Europe/Zurich;2023-10-10T08:46:21+00:00;False;False;2024-01-25T14:20:34.691000+00:00;2024-03-01T16:59:18.971000+00:00;ch_80_3203;False;St. Gallen;;;Stadtkanzlei, Stadt St.Gallen;https://www.stadt.sg.ch/home/verwaltung-politik/demokratie-politik/stadtrat.html, https://www.stadt.sg.ch/home/verwaltung-politik/demokratie-politik/geschaeftsbericht.html;911;;;;;;;False;;stgallen;;;opendata.swiss;jahresziele-stadt-st-gallen
2023-06-08;;Finanzen, Stadt St.Gallen;OGD-Koordinationsstelle St.Gallen;OGD-Koordinationsstelle St.Gallen;opendata@stadt.sg.ch;jährlich;;;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Budget der Stadt St.Gallen nach Funktionen;<p>Der Datensatz zeigt das Budget seit 2023 der Stadt St.Gallen nach funktionaler Gliederung.</p>;Finanzen;Finanzen,Rechnung,Funktionale Gliederung,Funktionen;CC BY;https://creativecommons.org/licenses/by/4.0/;de;de;;2023-06-08T11:05:54+00:00;False;False;2023-12-04T16:08:10.499000+00:00;2023-12-21T11:06:26.279000+00:00;ch_80_3203;False;St. Gallen;;;Finanzen, Stadt St.Gallen;https://www.stadt.sg.ch/home/verwaltung-politik/demokratie-politik/finanzen.html;7176;;;;;;;False;;stgallen;2023,2024;Stadt St.Gallen;opendata.swiss;budget-der-stadt-stgallen-nach-funktionen
2023-10-10;2023-10-10;Stadtkanzlei, Stadt St.Gallen;;OGD-Koordinationsstelle St.Gallen;opendata@stadt.sg.ch;irregular;;;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Legislaturziele Stadt St.Gallen;"<p class="""">Der
Stadtrat der Stadt St.Gallen bestimmt und veröffentlicht Legislatur- und Jahresziele, welche den Handlungsfeldern der Vision 2030 zugeordnet werden. Diese Ziele werden jeweils am Ende des Jahres, bzw. der Legislatur bewertet und im Geschäftsbericht der Stadt St.Gallen veröffentlicht. Der Datensatz zeigt die Legislaturziele und die jeweilige Bewertung bei abgeschlossenen Legislaturen.</p><p class="""">Mehr Informationen und die jeweiligen PDF-Dokumente finden Sie hier:</p><p class=""""><a href=""https://www.stadt.sg.ch/home/verwaltung-politik/demokratie-politik/stadtrat.html"" target=""_blank"">Stadtrat: Vision 2030 und Legislaturziele</a></p><p class=""""><a href=""https://www.stadt.sg.ch/home/verwaltung-politik/demokratie-politik/geschaeftsbericht.html"" target=""_blank"">Geschäftsbericht: Legislatur- und Jahresziele, inkl. Bewertung</a></p>";Politik,Verwaltung;Stadtparlament,Stadtrat,Dienststellen,Vision 2030;CC BY;https://creativecommons.org/licenses/by/4.0/;de;de;Europe/Zurich;2023-10-16T07:34:34.432000+00:00;False;True;2023-10-16T07:34:34.432000+00:00;2023-12-05T13:44:01.445000+00:00;ch_80_3203;False;St. Gallen;;;Stadtkanzlei, Stadt St.Gallen;"https://www.stadt.sg.ch/home/verwaltung-politik/demokratie-politik/stadtrat.html; https://www.stadt.sg.ch/home/verwaltung-politik/demokratie-politik/geschaeftsbericht.html";127;;;;;;;False;;stgallen;;;opendata.swiss;legislaturziele-stadt-st-gallen
2019-08-27;2019-09-05;Finanzen, Stadt St.Gallen;;OGD-Koordinationsstelle St.Gallen;opendata@stadt.sg.ch;keine Aktualisierung vorgesehen;;2018;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Laufende Rechnung 2018 Stadt St.Gallen;"<p><span style=""font-size: 12.495px;"">Die Laufende Rechnung der Stadt St.Gallen des Jahres 2018 enthält die Rechnung 2017, den Voranschlag 2018, die ausgewiesenen Aufwände und Erträge der Rechnung 2018, sowie deren Abweichung zum Budget für die verschiedenen Positionen der Stadt Verwaltung (3-stellig). </span><span style=""font-size: 12.495px;"">Den Dateidownload finden Sie</span><span style=""font-size: 12.495px;""> in den Anlagen (siehe unten).</span><br/></p>";Finanzen,Verwaltung;Finanzen,Jahresrechnung,Rechnung,Aufwand,Ertrag,Budget,Ausgaben;CC BY;https://creativecommons.org/licenses/by/4.0/;de;de;Europe/Zurich;2019-08-20T08:04:21+00:00;False;False;2019-08-27T15:27:53.614000+00:00;2023-12-21T06:46:27.033000+00:00;ch_80_3203;True;St. Gallen;;;Finanzen, Stadt St.Gallen;;0;;;;;;;False;;stgallen;;;;laufende-rechnung-2018-stadt-stgallen
2019-08-27;2019-09-05;Finanzen, Stadt St.Gallen;;OGD-Koordinationsstelle St.Gallen;opendata@stadt.sg.ch;keine Aktualisierung vorgesehen;;2017;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Laufende Rechnung 2017 Stadt St.Gallen;"<p><span style=""font-size: 12.495px;"">Die Laufende Rechnung der Stadt St.Gallen des Jahres 2017 enthält die Rechnung 2016, den Voranschlag 2017, die ausgewiesenen Aufwände und Erträge der Rechnung 2017, sowie deren Abweichung zum Budget für die verschiedenen Positionen der Stadt Verwaltung (3-stellig). </span><span style=""font-size: 12.495px;"">Den Dateidownload finden Sie</span><span style=""font-size: 12.495px;""> in den Anlagen (siehe unten).</span><br/></p>";Finanzen,Verwaltung;Finanzen,Jahresrechnung,Budget,Aufwand,Ertrag,Ausgaben,Rechnung;CC BY;https://creativecommons.org/licenses/by/4.0/;de;de;Europe/Zurich;2019-08-20T07:34:44+00:00;False;False;2019-08-27T15:30:24.954000+00:00;2023-12-12T15:31:45.266000+00:00;ch_80_3203;True;St. Gallen;;;Finanzen, Stadt St.Gallen;;0;;;;;;;False;;stgallen;;;;laufende-rechnung-2017-stadt-stgallen
2020-06-21;2020-10-29;Finanzen, Stadt St.Gallen;;OGD-Koordinationsstelle St.Gallen;opendata@stadt.sg.ch;keine Aktualisierung vorgesehen;;2021;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Voranschlag 2021 der Stadt St.Gallen / Entwurf des Stadtrates an das Stadtparlament vom 22. September 2020;Im Anhang des Datensatzes finden Sie den Zahlenteil des Voranschlags 2021 der Stadt St.Gallen in Excel-Format. <b>Wichtig: Es handelt sich dabei um den Entwurf des Stadtrats an das Stadtparlament vom 22. September 2020.</b> Der Voranschlag zeigt die Rechnung 2019, den Voranschlag 2020, die entsprechenden Konten (3-stellig), die Aufwände und Erträge des Budget 2021, sowie die Abweichung zum Vorjahresbudget. Weitere Informationen finden Sie in der entsprechenden Medienmitteilung (Siehe Referenzen)<br/>;Finanzen,Verwaltung;Finanzen,Rechnung,Aufwand,Ertrag,Budget,Ausgaben,Voranschlag;CC BY;https://creativecommons.org/licenses/by/4.0/;de;de;Europe/Zurich;2023-12-12T10:09:05.616000+00:00;True;False;;2023-12-21T06:54:54.210000+00:00;ch_80_3203;True;St. Gallen;;;Finanzen, Stadt St.Gallen;https://www.stadt.sg.ch/news/14/2020/10/stadtrat-legt-budget-2021-vor.html;0;;;;;;;False;;stgallen;;;;voranschlag-2021-der-stadt-stgallen-entwurf-des-stadtrates-an-das-stadtparlament
2019-12-10;2019-12-10;Stadtarchiv St.Gallen;;OGD-Koordinationsstelle St.Gallen;opendata@stadt.sg.ch;keine Aktualisierung vorgesehen;;;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Stadtarchiv St.Gallen;"<p><span style=""color: rgb(12, 72, 87); font-family: Verdana; font-size: 13.3333px;"">Im Stadtarchiv der Politischen Gemeinde St.Gallen finden Sie das Archivgut der Stadtverwaltung St.Gallen sowie der mit der Stadt fusionierten Gemeinden Tablat und Straubenzell. Daneben liegen im Stadtarchiv u.a. der historische Nachlass mehrerer Schulgemeinden, Karten, Pläne, Fotografien sowie zahlreiche Archive privater Herkunft.</span></p><p><span style=""color: rgb(12, 72, 87); font-family: Verdana; font-size: 13.3333px;"">Hier finden sie den Link zum Findbuch des Stadtarchivs: </span><a href=""https://www.stadtarchiv-st.gallen.findbuch.net/php/main.php?be_kurz=414453#33"" target=""_blank"">https://www.stadtarchiv-st.gallen.findbuch.net/php/main.php?be_kurz=414453#33</a><a href=""https://www.stadtarchiv-st.gallen.findbuch.net/php/main.php?be_kurz=414453#33"" target=""_blank""></a></p><p>Eine Übersicht über sämtliche Bestände, sowie den Archivführer finden Sie unter: <a href=""https://www.stadt.sg.ch/home/freizeit-tourismus/stgallen-entdecken/geschichte/stadtarchiv.html"" target=""_blank"">https://www.stadt.sg.ch/home/freizeit-tourismus/stgallen-entdecken/geschichte/stadtarchiv.html</a><a href=""https://www.stadt.sg.ch/home/freizeit-tourismus/stgallen-entdecken/geschichte/stadtarchiv.html"" style='background-color: rgb(255, 255, 255); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 0.833rem;'></a></p><p><span style=""color: rgb(12, 72, 87); font-family: Verdana; font-size: 13.3333px;"">Das Stadtarchiv der Politischen Gemeinde St.Gallen umfasst Archivgut von der Helvetischen Revolution (1798) bis heute. Eine erste Übersicht über die Bestände gibt Ihnen unser </span><a href=""https://www.stadtarchiv-st.gallen.findbuch.net/home/Archivfuehrer%20-%20Auszug.pdf"" style=""font-family: Verdana; font-size: 13.3333px; background-color: rgb(255, 255, 255);"" target=""_blank"">Archivführer</a><span style=""color: rgb(12, 72, 87); font-family: Verdana; font-size: 13.3333px;"">.</span><br/></p><p style=""color: rgb(12, 72, 87); font-family: Verdana; font-size: 13.3333px;"">Wenn Sie sich für die Geschichte der Reichsstadt St.Gallen (Mittelalter bis 1798) interessieren, wenden Sie sich bitte an das <a href=""http://www.stadtarchiv.ch/"" target=""_blank"">Stadtarchiv der Ortsbürgergemeinde</a> St.Gallen.</p><p style=""color: rgb(12, 72, 87); font-family: Verdana; font-size: 13.3333px;"">Anschrift<br/>Stadtarchiv St.Gallen<br/>Notkerstrasse 22<br/>CH-9000 St.Gallen<br/>Telefon ++41 (0)71 224 62 23<br/>Fax ++41 (0)71 244 07 45<br/>Email <a href=""mailto:stadtarchiv@stadt.sg.ch"">stadtarchiv@stadt.sg.ch</a></p><p style=""color: rgb(12, 72, 87); font-family: Verdana; font-size: 13.3333px;"">Öffnungszeiten</p><p style=""color: rgb(12, 72, 87); font-family: Verdana; font-size: 13.3333px;"">Montag bis Donnerstag, ausgenommen Fest- und Feiertage<br/>09:00 bis 12:00 und 14:00 bis 17:00</p><ul style=""color: rgb(12, 72, 87); font-family: Verdana; font-size: 13.3333px;""><li><a href=""http://www.stadt.sg.ch/home/freizeit-tourismus/stgallen-entdecken/geschichte/stadtarchiv.html"" target=""_blank"">Webseite des Stadtarchivs St. Gallen</a></li><li><a href=""http://www.stadtarchiv.ch/"" target=""_blank"">Webseite des Stadtarchivs der Ortsbürgergemeinde St. Gallen</a></li></ul><p><font size=""1"" style=""color: rgb(12, 72, 87); font-family: Verdana;"">Bei jedem Zugriff auf unsere Webseite wird die anonymisierte IP-Adresse, Datum und Uhrzeit, URL der besuchten Seite, Statuscode des Webservers, übertragene Datenmenge in Bytes und der verwendete Webbrowser (User-Agent) in einer Protokolldatei gespeichert.<br/>Diese Daten sind nicht personenbezogen und lassen keine Identifizierung der Internetbesucherinnen und -besucher zu. Sie werden ausschließlich zum Zweck der Datensicherheit, zur Fehleranalyse und zur statistischen Auswertung (Anzahl der Zugriffe pro Monat) verwendet und nicht an Dritte weitergegeben. Die Protokolldaten werden nach sechs Monaten gelöscht.</font><br/></p>";Kultur, Medien, Informationsgesellschaft, Sport,Verwaltung;Archiv,Geschichte,Historisch;CC BY-NC;https://creativecommons.org/licenses/by-nc/4.0/;de;de;Europe/Zurich;2023-12-21T13:38:09.484000+00:00;True;False;2023-12-21T12:40:42.996000+00:00;2023-12-21T13:38:11.888000+00:00;ch_80_3203;True;St. Gallen;;;Stadtarchiv St.Gallen;https://www.stadtarchiv-st.gallen.findbuch.net/php/main.php?be_kurz=414453#33;1;;;;;;;False;;stgallen;;;opendata.swiss;stadtarchiv-stgallen
2021-01-22;2021-01-22;Samuel Rudolf;Christian Geiger;;;;;;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Unterlagen SNP Stocken;"<p>In diesem Datensatz finden Sie eine *.zip-Datei mit allen Unterlagen zur Mitwirkung bei der Sondernutzungsplanung Stocken (18.01.-08.02.2021) als Download. Die Mitwirkung und Kommentierung zur Planung ist gemäss Art. 4 RPG und Art. 34 PBG <font face=""inherit""><span style=""font-size: 0.833rem;"">ist über die Partizipationsplattform der Stadt St.Gallen (</span></font>https://partizipieren.stadt.sg.ch/de/<font face=""inherit""><span style=""font-size: 0.833rem;"">) möglich.</span></font></p>";Raum und Umwelt,Bau- und Wohnungswesen,Gesetzgebung,Mobilität und Verkehr,Verwaltung;Stocken,Sondernutzungsplanung,SNP,Mitwirkung;CC BY-NC-SA;https://creativecommons.org/licenses/by-nc-sa/4.0/;de;de;Europe/Zurich;2021-01-22T11:27:37+00:00;False;False;2021-01-22T11:40:46.159000+00:00;2023-12-21T10:18:11.728000+00:00;ch_80_3203;True;St. Gallen;;;Stadtplanung, Stadt St.Gallen;;19;;;;;;;False;;stgallen;;;;unterlagen-snp-stocken
2021-11-02;2021-11-02;Geomatik und Vermessung;;OGD-Koordinationsstelle St.Gallen;opendata@stadt.sg.ch;keine Aktualisierung vorgesehen;;;;;;;;;;stadt-st-gallen;NonCommercialAllowed-CommercialAllowed-ReferenceRequired;Erreichbarkeitsanalyse Areal Bach, Stadt St.Gallen;<p>Die Geomatik und Vermessung hat eine Erreichbarkeitsanalyse des Areal Bach in St.Gallen für Fussgängerinnen und Fussgänger, sowie den motorisierten Individualverkehr durchgeführt. Der Datensatz zeigt die Gehdauer, bzw. Fahrdauer bis zu einer Stunde in 5-Minuten Schritten.</p>;Mobilität und Verkehr;Fussgänger,Auto,MIV,Erreichbarkeit,Open Data Hack St.Gallen;CC BY;https://creativecommons.org/licenses/by/4.0/;de;de;;2021-11-02T20:58:16+00:00;False;False;2021-11-02T21:12:50.652000+00:00;2023-12-05T13:51:26.693000+00:00;ch_60_1728,ch_60_1721;True;Wil,St. Gallen;Polygon;"{""coordinates"": [[[10.079746758565307, 47.86680119577795], [8.360603749752045, 47.86680119577795], [8.360603749752045, 46.82431108318269], [10.079746758565307, 46.82431108318269], [10.079746758565307, 47.86680119577795]]], ""type"": ""Polygon""}";Geomatik und Vermessung, Stadt St.Gallen;;24;;;;;;;False;;stgallen;;;opendata.swiss;erreichbarkeitsanalyse-areal-bach-stadt-stgallen
